,NUM_CALLER_KEY,CELL_CALL_CODE,TIME_CALL,FESTIVE
0,14615350739796570,160,2017-01-30 18:43:23,0
1,14615362915496210,91,2017-01-31 05:34:22,0
2,14615426104544740,74,2017-02-04 19:57:37,0
3,1508338528891430,654,2017-02-09 09:44:15,0
4,14615169567198860,219,2017-01-03 01:29:08,0
5,14615379863619500,21,2017-01-04 21:00:29,0
6,14615362915496210,599,2017-01-02 13:37:03,0
7,14615362915496210,304,2017-02-05 16:28:13,0
8,14615286875279600,203,2017-01-27 00:47:07,0
9,14615389847090640,363,2017-02-04 10:52:45,0
10,14615169567198860,15,2017-02-04 21:53:11,0
11,14615169567198860,551,2017-01-26 15:52:24,0
12,14615426104544740,203,2017-01-08 02:29:11,0
13,14615389847090640,681,2017-02-02 12:29:18,0
14,14615230806211460,498,2017-01-22 22:42:16,0
15,14615209638088820,114,2017-01-30 13:40:39,0
16,14616970979264120,42,2017-01-28 05:12:36,0
17,14615340116986540,459,2017-02-02 07:13:19,0
18,14615362915496210,558,2017-02-01 07:20:04,0
19,14615342747560270,351,2017-01-29 06:04:27,0
20,14615362915496210,515,2017-01-04 06:00:47,0
21,14615443431733610,114,2017-01-29 18:20:40,0
22,14615169567198860,570,2017-02-02 22:23:06,0
23,14615230806211460,682,2017-02-06 03:10:05,0
24,14615286875279600,540,2017-02-06 00:04:31,0
25,14615202088856090,152,2017-01-12 15:22:59,0
26,14615202088856090,180,2017-02-09 14:19:55,0
27,14615338358673270,260,2017-01-24 19:45:16,0
28,14615224339316630,475,2017-01-29 22:10:00,0
29,14615238277805200,258,2017-01-06 00:17:22,0
30,14615224339316630,96,2017-01-04 19:25:06,0
31,14615286875279600,45,2017-01-03 10:41:58,0
32,14615341249566000,94,2017-01-02 22:30:46,0
33,14615379863619500,6,2017-01-04 12:43:03,0
34,14615414362764910,21,2017-02-05 02:33:09,0
35,14615169567198860,43,2017-01-02 02:23:05,0
36,14615339806425970,645,2017-01-01 19:09:12,0
37,14615422734112440,21,2017-01-31 20:08:46,0
38,14615169567198860,17,2017-02-06 11:04:27,0
39,14615230806211460,26,2017-01-03 11:59:49,0
40,14615166004947990,187,2017-01-29 17:15:28,0
41,14615341249566000,65,2017-02-05 02:12:28,0
42,14615342747560270,210,2017-01-11 03:22:08,0
43,1511450097286867,484,2017-01-12 01:22:48,0
44,14615169567198860,15,2017-01-26 13:10:49,0
45,14615224339316630,16,2017-01-04 07:50:56,0
46,14615223521819060,566,2017-01-17 17:06:09,0
47,1511351423050227,21,2017-01-29 03:53:31,0
48,1508348000516039,188,2017-01-26 00:20:14,0
49,14615169567198860,34,2017-01-28 17:13:51,0
50,1511450097286867,373,2017-01-26 03:33:35,0
51,14615342747560270,14,2017-01-22 18:28:00,0
52,14615426104544740,691,2017-01-26 08:19:48,0
53,14615209638088820,291,2017-01-17 11:29:11,0
54,14615415171128470,398,2017-01-31 02:20:37,0
55,14615342747560270,187,2017-01-02 12:46:26,0
56,14615422734112440,615,2017-01-16 03:11:06,0
57,14615169567198860,144,2017-01-29 22:28:17,0
58,14615169567198860,303,2017-01-08 00:48:37,0
59,14615286875279600,175,2017-01-27 23:45:03,0
60,14615166004947990,301,2017-02-04 01:21:45,0
61,14615342747560270,155,2017-02-03 23:45:28,0
62,14615362915496210,701,2017-01-31 01:10:21,0
63,14615169567198860,465,2017-01-02 02:04:17,0
64,1508316675572647,20,2017-01-29 21:19:47,0
65,14615341249566000,18,2017-01-04 21:34:46,0
66,1508338528891430,645,2017-01-01 14:03:59,0
67,14615342747560270,183,2017-01-26 13:36:16,0
68,14615169567198860,525,2017-01-29 23:29:39,0
69,1511450097286867,255,2017-01-14 00:58:36,0
70,14615287455297730,173,2017-01-31 14:16:14,0
71,1508316675572647,71,2017-02-01 05:56:38,0
72,1511351423050227,441,2017-01-31 00:30:30,0
73,14615169567198860,219,2017-01-31 09:16:01,0
74,14615342747560270,255,2017-01-02 22:37:46,0
75,14615442335644470,584,2017-01-29 21:30:24,0
76,14615220005192520,710,2017-01-02 19:17:42,0
77,14615443733160180,457,2017-01-16 03:14:54,0
78,14615169567198860,644,2017-01-12 21:58:14,0
79,14615342747560270,212,2017-01-26 02:03:12,0
80,1511450097286867,72,2017-01-09 12:10:58,0
81,14615169567198860,11,2017-01-02 07:20:13,0
82,14615342747560270,50,2017-01-31 01:33:59,0
83,14615400278086670,65,2017-02-01 02:46:49,0
84,14615362915496210,258,2017-01-04 00:49:23,0
85,14615424428442040,558,2017-01-05 11:23:15,0
86,14615341249566000,522,2017-01-29 19:53:25,0
87,14615230806211460,18,2017-02-02 03:32:17,0
88,1511450097286867,598,2017-01-27 10:10:04,0
89,14615230806211460,6,2017-01-27 08:11:35,0
90,14615363285427770,554,2017-01-06 16:51:37,0
91,1511450097286867,52,2017-01-24 16:45:00,0
92,14615220009759520,20,2017-01-01 22:22:32,0
93,14615228723636630,21,2017-01-15 20:34:27,0
94,14615443737727180,418,2017-01-31 19:57:48,0
95,14615224339316630,544,2017-02-03 11:11:53,0
96,14615388134447370,83,2017-01-07 04:35:25,0
97,14615339806425970,24,2017-01-01 06:54:20,0
98,14615342747560270,47,2017-01-29 22:35:46,0
99,14615230806211460,233,2017-01-17 04:31:08,0
100,14616970979264120,269,2017-02-02 18:47:54,0
101,14615338358673270,231,2017-01-12 21:06:09,0
102,14615342747560270,267,2017-01-05 02:33:13,0
103,14615169567198860,87,2017-01-30 20:50:41,0
104,14615339806425970,231,2017-01-11 04:28:37,0
105,14615230806211460,388,2017-01-12 05:19:18,0
106,14615426104544740,149,2017-01-02 02:18:00,0
107,14615395354901770,109,2017-01-05 06:49:43,0
108,14615367719980210,258,2017-01-16 21:21:59,0
109,14615338358673270,662,2017-01-03 02:42:54,0
110,14615362915496210,465,2017-01-31 17:23:25,0
111,14615337422429130,175,2017-02-04 00:20:46,0
112,14615339806425970,644,2017-01-31 11:30:00,0
113,14615396446378240,219,2017-01-29 06:19:34,0
114,14615363285427770,223,2017-01-07 10:33:12,0
115,14615220009759520,15,2017-01-25 10:48:12,0
116,1511351423050227,182,2017-01-17 00:35:57,0
117,14615362915496210,686,2017-01-03 11:46:42,0
118,1511351423050227,160,2017-01-13 14:40:26,0
119,14615362915496210,171,2017-01-10 01:58:09,0
