,NUM_CALLER_KEY,CALL_DATE,TIME_MIN_CALL,CELL_CALL_CODE
0,14615366112382500,2017-01-30 00:00:00,2022-05-25 15:54:19,258
1,14615362915496210,2017-01-14 00:00:00,2022-05-25 11:54:30,781
2,14615430050428180,2017-01-20 00:00:00,2022-05-25 21:25:36,18
3,14615339806425970,2017-01-09 00:00:00,2022-05-25 17:36:41,311
4,14615390824437770,2017-01-06 00:00:00,2022-05-25 13:20:43,565
5,14615330147216400,2017-01-11 00:00:00,2022-05-25 09:24:56,199
6,14615390824437770,2017-01-25 00:00:00,2022-05-25 23:55:19,18
7,1511450097286867,2017-01-05 00:00:00,2022-05-25 09:47:09,253
8,14615444153328740,2017-02-01 00:00:00,2022-05-25 08:33:55,494
9,14615362915496210,2017-01-12 00:00:00,2022-05-25 23:57:41,570
10,14615350739796570,2017-01-29 00:00:00,2022-05-25 15:57:56,354
11,14615442335644470,2017-01-09 00:00:00,2022-05-25 23:49:14,702
12,14615238277805200,2017-01-12 00:00:00,2022-05-25 15:45:20,93
13,14615341249566000,2017-01-07 00:00:00,2022-05-25 15:39:43,64
14,1511450097286867,2017-02-02 00:00:00,2022-05-25 10:46:24,175
15,14616991777363860,2017-01-18 00:00:00,2022-05-25 21:08:21,148
16,14615228723636630,2017-01-10 00:00:00,2022-05-25 11:00:46,485
17,14615372369190770,2017-02-08 00:00:00,2022-05-25 12:24:52,350
18,14615379863619500,2017-01-10 00:00:00,2022-05-25 20:00:38,203
19,14615362915496210,2017-01-09 00:00:00,2022-05-25 14:53:13,513
20,14615396446378240,2017-01-07 00:00:00,2022-05-25 11:48:32,769
21,14615336865250570,2017-01-07 00:00:00,2022-05-25 17:24:24,155
22,14615379863619500,2017-01-14 00:00:00,2022-05-25 10:06:38,205
23,14615286875279600,2017-01-08 00:00:00,2022-05-25 13:10:25,861
24,14615343172295840,2017-02-01 00:00:00,2022-05-25 23:40:57,481
25,14615368752090240,2017-01-17 00:00:00,2022-05-25 18:35:39,260
26,14615362915496210,2017-01-25 00:00:00,2022-05-25 23:54:04,91
27,1508348000516039,2017-01-17 00:00:00,2022-05-25 23:47:36,199
28,14615366112382500,2017-01-06 00:00:00,2022-05-25 13:29:48,98
29,14615330160917400,2017-02-10 00:00:00,2022-05-25 18:14:47,682
30,14615169567198860,2017-02-10 00:00:00,2022-05-25 14:21:09,4
31,14615350474910570,2017-02-03 00:00:00,2022-05-25 18:10:09,157
32,14615362915496210,2017-02-03 00:00:00,2022-05-25 22:09:17,15
33,14615359243591670,2017-02-02 00:00:00,2022-05-25 23:58:13,434
34,1511531737380763,2017-01-20 00:00:00,2022-05-25 16:27:23,284
35,14615341249566000,2017-01-04 00:00:00,2022-05-25 07:41:03,668
36,14615442335644470,2017-01-13 00:00:00,2022-05-25 14:27:38,11
37,14615388586584940,2017-01-17 00:00:00,2022-05-25 17:36:35,264
38,14615438056365470,2017-01-11 00:00:00,2022-05-25 19:23:20,18
39,14615169567198860,2017-01-09 00:00:00,2022-05-25 20:01:57,267
40,14615220005192520,2017-01-18 00:00:00,2022-05-25 18:50:50,255
41,14615422734112440,2017-01-09 00:00:00,2022-05-25 20:19:50,71
42,14615362915496210,2017-01-11 00:00:00,2022-05-25 21:21:06,861
43,14615396446378240,2017-01-09 00:00:00,2022-05-25 23:32:33,167
44,14615366820272070,2017-02-10 00:00:00,2022-05-25 14:55:26,247
45,14615262724974460,2017-01-13 00:00:00,2022-05-25 10:33:03,131
46,14615418322390440,2017-01-31 00:00:00,2022-05-25 18:12:09,264
47,14616951204094750,2017-01-13 00:00:00,2022-05-25 12:25:41,308
48,14615232865901060,2017-01-06 00:00:00,2022-05-25 12:47:13,261
49,14615362915496210,2017-01-06 00:00:00,2022-05-25 17:41:40,100
50,14615415321844040,2017-01-08 00:00:00,2022-05-25 09:31:34,157
51,14616947669245890,2017-01-07 00:00:00,2022-05-25 19:47:23,3
52,14615347981346840,2017-01-02 00:00:00,2022-05-25 12:20:39,24
53,14615286875279600,2017-01-07 00:00:00,2022-05-25 23:14:42,269
54,14615362915496210,2017-01-10 00:00:00,2022-05-25 11:58:23,502
55,14615244297124900,2017-01-25 00:00:00,2022-05-25 12:24:43,348
56,14615362915496210,2017-01-12 00:00:00,2022-05-25 18:11:53,681
57,14615395354901770,2017-01-08 00:00:00,2022-05-25 13:07:42,206
58,14615342747560270,2017-01-27 00:00:00,2022-05-25 20:04:54,99
59,14615414362764910,2017-02-08 00:00:00,2022-05-25 17:56:09,265
60,14615362915496210,2017-01-21 00:00:00,2022-05-25 11:12:20,152
61,14615415193963470,2017-01-31 00:00:00,2022-05-25 11:26:47,75
62,14615169567198860,2017-02-09 00:00:00,2022-05-25 16:02:43,193
63,14615220005192520,2017-01-02 00:00:00,2022-05-25 11:19:43,779
64,14615422734112440,2017-01-24 00:00:00,2022-05-25 22:16:55,304
