	sex	sat_v	sat_m	sat_sum	hs_gpa	fy_gpa
0	1	48	42	120	3.56	3.53
1	1	60	70	124	4.04	3.26
2	1	46	43	110	2.45	2.41
3	1	38	62	78	2.65	2.1
4	1	61	52	127	3.94	3.41
5	1	58	53	120	3.82	1.66
6	1	43	46	100	3.26	2.39
7	1	35	53	101	2.52	0.77
8	1	37	34	94	2.87	1.44
9	1	39	74	117	4.12	3.16
10	1	60	69	118	3.01	3.35
11	1	63	58	120	2.99	2.85
12	2	44	45	78	2.2	1.72
13	2	48	37	102	3.95	2.88
14	1	41	54	90	2.43	0.79
15	1	58	72	127	4.06	3.88
16	1	56	64	116	4.0	2.25
17	2	32	56	88	2.85	1.84
18	1	55	53	112	4.08	3.29
19	1	42	55	70	2.75	2.01
20	1	44	56	106	2.73	2.72
21	1	42	34	102	2.76	3.26
22	1	46	45	79	2.6	1.6
23	1	48	49	106	3.38	2.86
24	1	47	54	94	2.71	0.95
25	1	32	56	96	3.33	3.33
26	1	57	73	118	3.29	3.11
27	1	61	73	124	3.88	3.55
28	1	48	55	114	4.26	3.41
29	2	34	39	83	3.04	0.77
30	1	41	52	100	2.9	1.56
31	1	36	54	92	2.71	2.12
32	1	38	59	70	2.97	1.39
33	1	57	77	120	3.31	2.43
34	1	53	33	100	3.39	2.07
35	1	49	57	120	3.45	2.96
36	2	32	50	82	3.01	1.42
37	2	47	48	118	3.48	2.78
38	1	39	53	101	3.51	3.29
39	1	41	60	107	3.21	0.8
40	1	43	67	86	2.53	2.09
41	2	33	42	82	2.34	1.89
42	1	59	77	113	3.3	2.98
43	1	62	57	102	3.6	2.32
44	1	58	61	111	3.01	1.92
45	1	36	39	106	3.15	0.89
46	1	53	60	123	3.5	3.67
47	1	42	57	74	3.65	1.15
48	1	35	53	101	2.64	0.37
49	1	54	46	117	2.91	3.33
50	1	31	47	63	2.22	1.06
51	1	40	51	72	3.06	2.29
52	1	49	55	85	3.36	3.07
53	2	60	50	91	2.7	1.22
54	1	39	44	94	2.25	2.02
55	1	46	57	105	3.43	3.31
56	2	40	56	106	2.41	1.51
57	1	36	49	104	2.62	2.69
58	1	34	41	75	3.12	1.6
59	2	33	38	82	3.18	2.19
60	1	56	65	110	4.06	2.46
61	1	50	52	96	3.26	3.7
62	2	53	48	128	3.2	3.25
63	1	45	66	139	4.01	1.83
64	1	54	62	105	3.31	3.78
65	1	36	58	115	4.01	2.64
66	1	36	32	97	3.7	2.71
67	1	53	64	103	2.29	1.55
68	1	61	41	111	2.73	2.34
69	1	53	66	129	3.34	2.81
70	1	38	50	101	2.67	0.85
71	1	57	60	127	2.68	3.15
72	1	53	35	101	2.97	1.25
73	1	40	65	118	3.56	2.45
74	1	58	57	115	3.31	2.52
75	1	38	47	90	2.55	1.15
76	1	35	49	78	2.76	2.89
77	1	47	60	100	3.44	2.47
78	1	43	53	87	2.77	2.64
